秖代ら戳	丁	ID	翴	翴	秖代	cell pos.	Target Vpk	Initial Vpk	OD_Rise	OD_fall	Normalized_V	Specific_target	Photo Sensor	放Sensor	放	玻珇	Rise-mean (10-90)	Rise-stdev (10-90)	Fall-mean (10-90)	Fall-stdev (10-90)	Rise-mean (5-95)	Rise-stdev (5-95)	Fall-mean (5-95)	Fall-stdev (5-95)	Vcom	Flicker	Base lv-mean	Top lv-mean	WXT (%)	BXT (%)	WXT_*	BXT_*	Overshooting or not	Overshooting %	獹ΛЮ丁	overshooting_peak	overshooting_top	(RisePeak-top)/top	(FallPeak-base)/base	delta_peak	delta_v	delta_m	c_a	peak	top	HLH_(Peak-Top)	HLH_area
2021/03/30	13:50:50	T19BU001NA0K	2	ART-R03	19018764	1	3.5	0.2	3.5	0.2	0	0	0	Dev3 : USB-TC01_ch0	23.701	TB2224CL	18.0482	0.7637	10.7879	0.138072	23.0015	0.745601	14.363	0.207549	0	0.00259239	0.0119441	2.24553	-	-	-	-	X	0.478797	0.06675	2.25412	2.24338	-0.118787	6.08723	0.00770285	0.000849527	3.40972e-005	0.0125806	0.880581	2.24338	35.869	0.0106123
2021/03/30	13:50:50	T19BR001NL21	2	ART-R03	19018764	2	3.5	0.2	3.5	0.2	0	0	1	Dev3 : USB-TC01_ch0	23.701	TB2224CL	18.0196	0.660887	9.17832	0.128891	22.8429	0.592604	12.2567	0.169268	0	0.00647912	0.00347374	1.78499	-	-	-	-	X	0.656947	0.08335	1.80121	1.78946	-0.109222	9.23124	0.00770359	0.000929373	2.52759e-005	0.0236645	0.890569	1.78946	34.325	0.00419084
2021/03/30	13:50:50	T19BR001NL2E	1	ART-R03	19018764	10	3.5	0.2	3.5	0.2	0	0	2	Dev3 : USB-TC01_ch0	23.701	TB2224CL	20.1041	1.60479	9.61878	0.168832	25.8771	1.75641	12.8548	0.251005	0	0.00670305	0.00689672	1.87166	-	-	-	-	V	1.27245	0.0836	1.88675	1.86304	-0.134684	5.51019	0.00825248	0.00111763	7.06935e-005	0.0227731	0.864815	1.86304	511.71	1.9656e-006
2021/03/30	13:50:51	T19BR001NL28	1	ART-R03	19018764	9	3.5	0.2	3.5	0.2	0	0	3	Dev3 : USB-TC01_ch0	23.701	TB2224CL	22.9756	1.27009	12.7725	0.22596	29.6142	1.41708	17.0261	0.29925	0	0.00493485	0.00582189	2.58698	-	-	-	-	X	0.88121	0.0834	2.61438	2.59154	-0.206377	24.9207	0.00916587	0.00191388	4.83909e-005	0.0156116	0.793166	2.59154	17.5308	0.00656136
2021/03/30	13:50:51	T19BR001NP22	2	ART-R03	19018764	17	3.5	0.2	3.5	0.2	0	0	4	Dev3 : USB-TC01_ch0	23.701	TB2224CL	17.889	0.207353	10.5262	0.179697	23.1458	0.248496	14.0471	0.234515	0	0.00257165	0.00639396	1.95897	-	-	-	-	X	0.154863	0.14995	1.95789	1.95486	-0.129687	9.34884	0.00796782	0.00103688	2.37196e-006	0.0123161	0.869886	1.95486	116.201	0.00499925
2021/03/30	13:50:51	T19BR001NP28	2	ART-R03	19018764	18	3.5	0.2	3.5	0.2	0	0	5	Dev3 : USB-TC01_ch0	23.701	TB2224CL	17.5524	0.194376	10.3323	0.178765	22.7254	0.25149	13.7788	0.226542	0	0.00262764	0.00419969	1.73127	-	-	-	-	X	0.281561	0.15005	1.73241	1.72754	-0.122035	11.7195	0.00781124	0.000971567	3.13369e-006	0.0134539	0.877665	1.72754	51.6423	5.44595e-006
2021/03/30	13:50:51	T19BR001NN22	1	ART-R03	19018764	26	3.5	0.2	3.5	0.2	0	0	6	Dev3 : USB-TC01_ch0	23.701	TB2224CL	19.1813	0.119993	11.4063	0.037132	24.6536	0.271112	15.176	0.0355031	0	0.00417288	0.00114625	0.450419	-	-	-	-	X	0.823049	0.06705	0.455918	0.452197	-0.163627	16.3609	0.00871885	0.00131987	1.69069e-005	0.0075857	0.835945	0.452197	-17.5776	1.82074e-006
2021/03/30	13:50:51	T19BR001NN2V	1	ART-R03	19018764	25	3.5	0.2	3.5	0.2	0	0	7	Dev3 : USB-TC01_ch0	23.701	TB2224CL	20.2814	0.0904954	12.2582	0.0208311	26.1989	0.199836	16.28	0.025884	0	0.00398545	0.0011958	0.424652	-	-	-	-	V	1.05899	0.10005	0.430836	0.426321	-0.182417	18.0807	0.00886781	0.00158193	2.77601e-005	0.0161842	0.817062	0.426321	56.8798	0.00131852
2021/03/30	13:51:17	T19BU001NA0K	2	ART-R03	19018764	1	4	0.2	4	0.2	0	0	0	Dev3 : USB-TC01_ch0	23.742	TB2224CL	13.781	0.230987	10.6225	0.11481	18.573	0.303786	14.1188	0.147326	0	0.00351669	0.0118431	2.60103	-	-	-	-	X	0.222654	0.07465	2.59752	2.59175	-0.0691086	215.316	0.00647956	0.0004114	3.26501e-005	0.00744889	0.930575	2.59175	24.4326	0.00629508
2021/03/30	13:51:17	T19BR001NL21	2	ART-R03	19018764	2	4	0.2	4	0.2	0	0	1	Dev3 : USB-TC01_ch0	23.742	TB2224CL	13.2117	0.252326	9.00675	0.115264	19.3682	0.315702	11.9869	0.151971	0	0.00532976	0.00338218	2.15371	-	-	-	-	X	0.433004	0.05015	2.15079	2.14152	-0.0592372	10.4963	0.00652657	0.000498286	2.69339e-005	0.0167533	0.940669	2.14152	-19.6094	0.00396416
2021/03/30	13:51:18	T19BR001NL2E	1	ART-R03	19018764	10	4	0.2	4	0.2	0	0	2	Dev3 : USB-TC01_ch0	23.742	TB2224CL	14.159	0.327845	9.33694	0.154054	20.3913	0.425328	12.4212	0.206626	0	0.00557697	0.00691143	2.2787	-	-	-	-	X	0.665698	0.0667	2.27361	2.25858	-0.072552	6.00994	0.00679959	0.00048529	3.19785e-005	0.0191466	0.927226	2.25858	-28.7074	0.00616041
2021/03/30	13:51:18	T19BR001NL28	1	ART-R03	19018764	9	4	0.2	4	0.2	0	0	3	Dev3 : USB-TC01_ch0	23.742	TB2224CL	18.261	0.205128	12.4283	0.203591	23.5694	0.252458	16.5007	0.266795	0	0.00391052	0.00573335	3.08789	-	-	-	-	X	0.453601	0.06695	3.08661	3.07268	-0.126866	29.8722	0.00787369	0.00106643	2.60383e-006	0.0107936	0.872898	3.07268	-172.226	0.0079922
2021/03/30	13:51:18	T19BR001NP22	2	ART-R03	19018764	17	4	0.2	4	0.2	0	0	4	Dev3 : USB-TC01_ch0	23.742	TB2224CL	13.7022	0.173392	10.2406	0.145055	18.4875	0.207876	13.6311	0.194484	0	0.000387358	0.00641359	2.29401	-	-	-	-	X	0.2463	0.17275	2.29573	2.29009	-0.0697991	9.9647	0.00660035	0.000444725	6.22596e-006	0.00859061	0.930005	2.29009	87.3027	0.00555971
2021/03/30	13:51:18	T19BR001NP28	2	ART-R03	19018764	18	4	0.2	4	0.2	0	0	5	Dev3 : USB-TC01_ch0	23.742	TB2224CL	13.3529	0.215077	9.99112	0.166276	18.1037	0.217814	13.2915	0.230249	0	0.000350538	0.00430322	2.022	-	-	-	-	X	0.236705	0.17265	2.02229	2.01751	-0.0647163	11.5222	0.00650806	0.000403699	5.66906e-006	0.00804991	0.935144	2.01751	-14.3488	0.00597775
